"Country","Year","IDPT","IM","AFR","BR","DR","HEP","PSE","MR","NoOfPatents","hindex","NoOfDocs","GDP","HET","X","Region","FIPS_CNTRY"
"Afghanistan",1999,27,189,"162.24","50.53","12.61",,,95.2,,21,3,,,1,"Asia & Pacific","AF"
"Afghanistan",2000,24,189,"158.33","50.00","12.31",,,93.5,2,21,2,,,221,"Asia & Pacific","AF"
"Afghanistan",2001,33,189,"154.41","49.28","11.99",,,91.6,2,21,2,"115.3",,438,"Asia & Pacific","AF"
"Afghanistan",2002,36,189,"150.50","48.41","11.65",6.73,,89.6,,21,4,186,,659,"Asia & Pacific","AF"
"Afghanistan",2003,41,189,"143.90","47.40","11.30",6.54,,87.5,2,21,11,"198.3",,883,"Asia & Pacific","AF"
"Afghanistan",2004,50,189,"137.29","46.29","10.93","10.48",,85.3,,21,17,"220.1",,1107,"Asia & Pacific","AF"
"Afghanistan",2005,58,189,"130.69","45.08","10.55",9.16,,83.2,,21,19,"252.4",,1332,"Asia & Pacific","AF"
"Afghanistan",2006,58,53,124079,"43.76","10.16","12.38",,"81.2",,21,39,"275.4",,1561,"Asia & Pacific","AF"
"Afghanistan",2007,63,55,117473,"42.36",9.77,"10.90",,"79.3",,21,29,"373.6",,1753,"Asia & Pacific","AF"
"Afghanistan",2008,73,69,111347,"40.90",9.39,"19.07",,"57.8",,21,37,377,,1945,"Asia & Pacific","AF"
"Afghanistan",2009,75,70,105221,"39.41",9.02,"21.09",,"58.7",,21,49,"450.7",,2137,"Asia & Pacific","AF"
"Afghanistan",2010,73,76,99096,"37.95",8.68,"20.87",,"59.6",,21,93,"561.2",,2329,"Asia & Pacific","AF"
"Albania",1999,97,27,34,"19.77",5.8,"43.28",9621,26.5,1,36,35,"1035.1","1.74",2,"Europe","AL"
"Albania",2000,97,23,32.7,"18.94",5.73,"36.10",1008,25.3,1,36,37,"1115.5",697,222,"Europe","AL"
"Albania",2001,97,21,31.41,"18.05",5.68,"38.20",10470,24,1,36,31,1245,724,439,"Europe","AL"
"Albania",2002,98,23,30.11,"17.12",5.66,"34.81",989,22.9,,36,40,"1363.3","0.7",660,"Europe","AL"
"Albania",2003,97,21,28,"16.19",5.69,"35.94",1068,21.8,1,36,48,"1744.9","0.96",884,"Europe","AL"
"Albania",2004,97,21,25.88,"15.29",5.76,"41.99",10727,20.7,1,36,50,"2320.9",992,1108,"Europe","AL"
"Albania",2005,98,20,23.77,"14.47",5.87,"44.25",1136,19.8,,36,51,"2620.8","4.22",1333,"Europe","AL"
"Albania",2006,97,95,21655,"13.79",6.01,"43.94",107565,"18.9",1,36,70,"2872.3","6.17",1562,"Europe","AL"
"Albania",2007,98,97,19541,"13.26",6.17,"40.84",1116433,"18.1",,36,75,"3380.9","1.31",1754,"Europe","AL"
"Albania",2008,64,59,18692,"12.88",6.32,"43.73",,"77.6",,36,98,"4108.4","3.47",1946,"Europe","AL"
"Albania",2009,63,60,17843,"12.67",6.47,"47.09",,"75.9",,36,120,"3845.7",765,2138,"Europe","AL"
"Albania",2010,66,62,16995,"12.61",6.6,"45.39",,"74.3",,36,212,"3764.3",894,2330,"Europe","AL"
"Algeria",1999,83,79,12.79,"20.18",5.26,"69.41",,31.3,,78,463,"1555.2","4.44",3,"Arab States","AG"
"Algeria",2000,86,87,11.76,"19.59",5.25,"73.33",,29.8,,78,486,"1727.3","4.17",223,"Arab States","AG"
"Algeria",2001,89,84,10.72,"19.34",5.26,"77.43",,28.2,,78,536,"1702.8",616,440,"Arab States","AG"
"Algeria",2002,86,86,9.68,"19.41",5.29,"76.47",,26.6,,78,620,"1742.6","1.06",661,"Arab States","AG"
"Algeria",2003,87,88,9.68,"19.75",5.33,"77.82",,25.1,,78,813,"2056.3","2.29",885,"Arab States","AG"
"Algeria",2004,86,87,9.68,"20.33",5.38,"72.41",0,23.8,,78,"1.14",2550,"1.05",1109,"Arab States","AG"
"Algeria",2005,88,93,9.68,"21.08",5.45,"72.71",4,22.6,,78,"1.22","3038.7","1.48",1334,"Arab States","AG"
"Algeria",2006,95,91,9686,"21.92",5.52,"74.39",,"21.6",,78,"1.74","3391.4","1.62",1563,"Arab States","AG"
"Algeria",2007,95,92,9687,"22.76",5.59,"77.12",,"20.7",,78,"1.86","3845.8",716,1755,"Arab States","AG"
"Algeria",2008,99,98,9756,"23.52",5.67,"80.03",,"17.4",,78,"2.4","4786.5",657,1947,"Arab States","AG"
"Algeria",2009,98,97,9825,"24.12",5.74,"79.35",,"16.8",1,78,"2.98","3771.3",626,2139,"Arab States","AG"
"Algeria",2010,99,99,9895,"24.51",5.8,"79.15",,"16.1",,78,"3.05","4349.6",505,2331,"Arab States","AG"
"American Samoa",1999,,,,,,,1,,,18,4,,,4,"Asia & Pacific","AQ"
"American Samoa",2000,,,,,,,,,,18,2,,,224,"Asia & Pacific","AQ"
"American Samoa",2001,,,,,,,,,,18,3,,,441,"Asia & Pacific","AQ"
